blocksize,image,dimgrid,duration
30,MontagneFoncee.pgm,10240,97
30,MontagneFoncee.pgm,10240,91
30,MontagneFoncee.pgm,10240,89
30,MontagneFoncee.pgm,10240,98
30,MontagneFoncee.pgm,10240,97
30,MontagneFoncee.pgm,10240,98
30,MontagneFoncee.pgm,10240,90
30,MontagneFoncee.pgm,10240,90
30,MontagneFoncee.pgm,10240,95
30,MontagneFoncee.pgm,10240,94
30,MontagneFoncee.pgm,10240,89
31,MontagneFoncee.pgm,9910,89
31,MontagneFoncee.pgm,9910,92
31,MontagneFoncee.pgm,9910,91
31,MontagneFoncee.pgm,9910,89
31,MontagneFoncee.pgm,9910,90
31,MontagneFoncee.pgm,9910,111
31,MontagneFoncee.pgm,9910,98
31,MontagneFoncee.pgm,9910,88
31,MontagneFoncee.pgm,9910,89
31,MontagneFoncee.pgm,9910,99
31,MontagneFoncee.pgm,9910,90
31,MontagneFoncee.pgm,9910,96
31,MontagneFoncee.pgm,9910,96
31,MontagneFoncee.pgm,9910,97
31,MontagneFoncee.pgm,9910,92
31,MontagneFoncee.pgm,9910,72
31,MontagneFoncee.pgm,9910,98
31,MontagneFoncee.pgm,9910,96
31,MontagneFoncee.pgm,9910,96
31,MontagneFoncee.pgm,9910,91
32,MontagneFoncee.pgm,9600,97
32,MontagneFoncee.pgm,9600,89
32,MontagneFoncee.pgm,9600,98
32,MontagneFoncee.pgm,9600,92
32,MontagneFoncee.pgm,9600,98
32,MontagneFoncee.pgm,9600,89
32,MontagneFoncee.pgm,9600,95
32,MontagneFoncee.pgm,9600,90
32,MontagneFoncee.pgm,9600,95
32,MontagneFoncee.pgm,9600,94
32,MontagneFoncee.pgm,9600,95
32,MontagneFoncee.pgm,9600,94
32,MontagneFoncee.pgm,9600,90
32,MontagneFoncee.pgm,9600,89
32,MontagneFoncee.pgm,9600,94
32,MontagneFoncee.pgm,9600,91
32,MontagneFoncee.pgm,9600,96
32,MontagneFoncee.pgm,9600,97
32,MontagneFoncee.pgm,9600,104
32,MontagneFoncee.pgm,9600,93
33,MontagneFoncee.pgm,9310,86
33,MontagneFoncee.pgm,9310,92
33,MontagneFoncee.pgm,9310,95
33,MontagneFoncee.pgm,9310,91
33,MontagneFoncee.pgm,9310,90
33,MontagneFoncee.pgm,9310,90
33,MontagneFoncee.pgm,9310,93
33,MontagneFoncee.pgm,9310,95
33,MontagneFoncee.pgm,9310,89
33,MontagneFoncee.pgm,9310,80
33,MontagneFoncee.pgm,9310,89
33,MontagneFoncee.pgm,9310,91
33,MontagneFoncee.pgm,9310,95
33,MontagneFoncee.pgm,9310,56
33,MontagneFoncee.pgm,9310,90
33,MontagneFoncee.pgm,9310,99
33,MontagneFoncee.pgm,9310,92
33,MontagneFoncee.pgm,9310,88
33,MontagneFoncee.pgm,9310,92
33,MontagneFoncee.pgm,9310,89
34,MontagneFoncee.pgm,9036,90
34,MontagneFoncee.pgm,9036,89
34,MontagneFoncee.pgm,9036,78
34,MontagneFoncee.pgm,9036,89
34,MontagneFoncee.pgm,9036,89
34,MontagneFoncee.pgm,9036,89
34,MontagneFoncee.pgm,9036,91
34,MontagneFoncee.pgm,9036,93
34,MontagneFoncee.pgm,9036,88
34,MontagneFoncee.pgm,9036,86
34,MontagneFoncee.pgm,9036,93
34,MontagneFoncee.pgm,9036,90
34,MontagneFoncee.pgm,9036,94
34,MontagneFoncee.pgm,9036,89
34,MontagneFoncee.pgm,9036,96
34,MontagneFoncee.pgm,9036,89
34,MontagneFoncee.pgm,9036,92
34,MontagneFoncee.pgm,9036,87
34,MontagneFoncee.pgm,9036,87
34,MontagneFoncee.pgm,9036,88
35,MontagneFoncee.pgm,8778,98
35,MontagneFoncee.pgm,8778,88
35,MontagneFoncee.pgm,8778,94
35,MontagneFoncee.pgm,8778,91
35,MontagneFoncee.pgm,8778,95
35,MontagneFoncee.pgm,8778,88
35,MontagneFoncee.pgm,8778,91
35,MontagneFoncee.pgm,8778,96
35,MontagneFoncee.pgm,8778,87
35,MontagneFoncee.pgm,8778,93
35,MontagneFoncee.pgm,8778,90
35,MontagneFoncee.pgm,8778,91
35,MontagneFoncee.pgm,8778,90
35,MontagneFoncee.pgm,8778,93
35,MontagneFoncee.pgm,8778,103
35,MontagneFoncee.pgm,8778,97
35,MontagneFoncee.pgm,8778,96
35,MontagneFoncee.pgm,8778,97
35,MontagneFoncee.pgm,8778,90
35,MontagneFoncee.pgm,8778,92
36,MontagneFoncee.pgm,8534,91
36,MontagneFoncee.pgm,8534,96
36,MontagneFoncee.pgm,8534,98
36,MontagneFoncee.pgm,8534,91
36,MontagneFoncee.pgm,8534,93
36,MontagneFoncee.pgm,8534,90
36,MontagneFoncee.pgm,8534,97
36,MontagneFoncee.pgm,8534,98
36,MontagneFoncee.pgm,8534,98
36,MontagneFoncee.pgm,8534,94
36,MontagneFoncee.pgm,8534,95
36,MontagneFoncee.pgm,8534,95
36,MontagneFoncee.pgm,8534,96
36,MontagneFoncee.pgm,8534,90
36,MontagneFoncee.pgm,8534,94
36,MontagneFoncee.pgm,8534,102
36,MontagneFoncee.pgm,8534,100
36,MontagneFoncee.pgm,8534,93
36,MontagneFoncee.pgm,8534,93
36,MontagneFoncee.pgm,8534,90
37,MontagneFoncee.pgm,8303,91
37,MontagneFoncee.pgm,8303,103
37,MontagneFoncee.pgm,8303,91
37,MontagneFoncee.pgm,8303,95
37,MontagneFoncee.pgm,8303,95
37,MontagneFoncee.pgm,8303,88
37,MontagneFoncee.pgm,8303,102
37,MontagneFoncee.pgm,8303,98
37,MontagneFoncee.pgm,8303,97
37,MontagneFoncee.pgm,8303,96
37,MontagneFoncee.pgm,8303,96
37,MontagneFoncee.pgm,8303,98
37,MontagneFoncee.pgm,8303,97
37,MontagneFoncee.pgm,8303,93
37,MontagneFoncee.pgm,8303,98
37,MontagneFoncee.pgm,8303,93
37,MontagneFoncee.pgm,8303,91
37,MontagneFoncee.pgm,8303,95
37,MontagneFoncee.pgm,8303,97
37,MontagneFoncee.pgm,8303,97
38,MontagneFoncee.pgm,8085,99
38,MontagneFoncee.pgm,8085,103
38,MontagneFoncee.pgm,8085,97
38,MontagneFoncee.pgm,8085,99
38,MontagneFoncee.pgm,8085,97
38,MontagneFoncee.pgm,8085,96
38,MontagneFoncee.pgm,8085,96
38,MontagneFoncee.pgm,8085,94
38,MontagneFoncee.pgm,8085,91
38,MontagneFoncee.pgm,8085,94
38,MontagneFoncee.pgm,8085,100
38,MontagneFoncee.pgm,8085,96
38,MontagneFoncee.pgm,8085,98
38,MontagneFoncee.pgm,8085,98
38,MontagneFoncee.pgm,8085,100
38,MontagneFoncee.pgm,8085,98
38,MontagneFoncee.pgm,8085,99
38,MontagneFoncee.pgm,8085,98
38,MontagneFoncee.pgm,8085,99
38,MontagneFoncee.pgm,8085,97
39,MontagneFoncee.pgm,7877,88
39,MontagneFoncee.pgm,7877,97
39,MontagneFoncee.pgm,7877,90
39,MontagneFoncee.pgm,7877,94
39,MontagneFoncee.pgm,7877,94
39,MontagneFoncee.pgm,7877,87
39,MontagneFoncee.pgm,7877,99
39,MontagneFoncee.pgm,7877,94
39,MontagneFoncee.pgm,7877,100
39,MontagneFoncee.pgm,7877,100
39,MontagneFoncee.pgm,7877,111
39,MontagneFoncee.pgm,7877,90
39,MontagneFoncee.pgm,7877,96
39,MontagneFoncee.pgm,7877,97
39,MontagneFoncee.pgm,7877,96
39,MontagneFoncee.pgm,7877,97
39,MontagneFoncee.pgm,7877,89
39,MontagneFoncee.pgm,7877,92
39,MontagneFoncee.pgm,7877,96
39,MontagneFoncee.pgm,7877,98
1,stavrovouni.pgm,15075424,21134
1,stavrovouni.pgm,15075424,21148
1,stavrovouni.pgm,15075424,21153
1,stavrovouni.pgm,15075424,21121
1,stavrovouni.pgm,15075424,21134
1,stavrovouni.pgm,15075424,21133
1,stavrovouni.pgm,15075424,21134
1,stavrovouni.pgm,15075424,21145
1,stavrovouni.pgm,15075424,21144
1,stavrovouni.pgm,15075424,21134
1,stavrovouni.pgm,15075424,21152
1,stavrovouni.pgm,15075424,21136
1,stavrovouni.pgm,15075424,21136
1,stavrovouni.pgm,15075424,21138
1,stavrovouni.pgm,15075424,21116
1,stavrovouni.pgm,15075424,21136
1,stavrovouni.pgm,15075424,21138
1,stavrovouni.pgm,15075424,21133
1,stavrovouni.pgm,15075424,21136
1,stavrovouni.pgm,15075424,21136
2,stavrovouni.pgm,7537712,10631
2,stavrovouni.pgm,7537712,10630
2,stavrovouni.pgm,7537712,10624
2,stavrovouni.pgm,7537712,10625
2,stavrovouni.pgm,7537712,10647
2,stavrovouni.pgm,7537712,10611
2,stavrovouni.pgm,7537712,10627
2,stavrovouni.pgm,7537712,10497
2,stavrovouni.pgm,7537712,10636
2,stavrovouni.pgm,7537712,10613
2,stavrovouni.pgm,7537712,10627
2,stavrovouni.pgm,7537712,10630
2,stavrovouni.pgm,7537712,10622
2,stavrovouni.pgm,7537712,10620
2,stavrovouni.pgm,7537712,10618
2,stavrovouni.pgm,7537712,10615
2,stavrovouni.pgm,7537712,10625
2,stavrovouni.pgm,7537712,10616
2,stavrovouni.pgm,7537712,10693
2,stavrovouni.pgm,7537712,10653
3,stavrovouni.pgm,5025142,7286
3,stavrovouni.pgm,5025142,7286
3,stavrovouni.pgm,5025142,7288
3,stavrovouni.pgm,5025142,7255
3,stavrovouni.pgm,5025142,7346
3,stavrovouni.pgm,5025142,7283
3,stavrovouni.pgm,5025142,7283
3,stavrovouni.pgm,5025142,7277
3,stavrovouni.pgm,5025142,7304
3,stavrovouni.pgm,5025142,7278
3,stavrovouni.pgm,5025142,7280
3,stavrovouni.pgm,5025142,7285
3,stavrovouni.pgm,5025142,7296
3,stavrovouni.pgm,5025142,7293
3,stavrovouni.pgm,5025142,7274
3,stavrovouni.pgm,5025142,7278
3,stavrovouni.pgm,5025142,7294
3,stavrovouni.pgm,5025142,7282
3,stavrovouni.pgm,5025142,7304
3,stavrovouni.pgm,5025142,7299
4,stavrovouni.pgm,3768856,5536
4,stavrovouni.pgm,3768856,5537
4,stavrovouni.pgm,3768856,5539
4,stavrovouni.pgm,3768856,5526
4,stavrovouni.pgm,3768856,5545
4,stavrovouni.pgm,3768856,5545
4,stavrovouni.pgm,3768856,5540
4,stavrovouni.pgm,3768856,5485
4,stavrovouni.pgm,3768856,5533
4,stavrovouni.pgm,3768856,5548
4,stavrovouni.pgm,3768856,5540
4,stavrovouni.pgm,3768856,5571
4,stavrovouni.pgm,3768856,5528
4,stavrovouni.pgm,3768856,5532
4,stavrovouni.pgm,3768856,5537
4,stavrovouni.pgm,3768856,5536
4,stavrovouni.pgm,3768856,5537
4,stavrovouni.pgm,3768856,5548
4,stavrovouni.pgm,3768856,5536
4,stavrovouni.pgm,3768856,5525
5,stavrovouni.pgm,3015085,4435
5,stavrovouni.pgm,3015085,4445
5,stavrovouni.pgm,3015085,4463
5,stavrovouni.pgm,3015085,4431
5,stavrovouni.pgm,3015085,4441
5,stavrovouni.pgm,3015085,4432
5,stavrovouni.pgm,3015085,4431
5,stavrovouni.pgm,3015085,4438
5,stavrovouni.pgm,3015085,4435
5,stavrovouni.pgm,3015085,4437
