num_threads,image,duration
8,MontagneFoncee.pgm,0.000717
9,MontagneFoncee.pgm,0.003369
9,MontagneFoncee.pgm,0.000686
9,MontagneFoncee.pgm,0.000685
9,MontagneFoncee.pgm,0.000689
9,MontagneFoncee.pgm,0.000724
9,MontagneFoncee.pgm,0.000718
9,MontagneFoncee.pgm,0.000679
9,MontagneFoncee.pgm,0.000670
9,MontagneFoncee.pgm,0.000686
9,MontagneFoncee.pgm,0.000664
9,MontagneFoncee.pgm,0.000691
9,MontagneFoncee.pgm,0.000668
9,MontagneFoncee.pgm,0.000681
9,MontagneFoncee.pgm,0.002999
9,MontagneFoncee.pgm,0.000676
9,MontagneFoncee.pgm,0.000683
9,MontagneFoncee.pgm,0.000672
9,MontagneFoncee.pgm,0.000688
9,MontagneFoncee.pgm,0.000748
9,MontagneFoncee.pgm,0.000719
10,MontagneFoncee.pgm,0.000848
10,MontagneFoncee.pgm,0.000692
10,MontagneFoncee.pgm,0.000663
10,MontagneFoncee.pgm,0.000660
10,MontagneFoncee.pgm,0.000677
10,MontagneFoncee.pgm,0.000654
10,MontagneFoncee.pgm,0.002464
10,MontagneFoncee.pgm,0.000648
10,MontagneFoncee.pgm,0.000656
10,MontagneFoncee.pgm,0.000656
10,MontagneFoncee.pgm,0.000671
10,MontagneFoncee.pgm,0.000655
10,MontagneFoncee.pgm,0.000669
10,MontagneFoncee.pgm,0.000749
10,MontagneFoncee.pgm,0.000699
10,MontagneFoncee.pgm,0.000693
10,MontagneFoncee.pgm,0.000740
10,MontagneFoncee.pgm,0.006763
10,MontagneFoncee.pgm,0.000745
10,MontagneFoncee.pgm,0.000807
11,MontagneFoncee.pgm,0.005088
11,MontagneFoncee.pgm,0.035815
11,MontagneFoncee.pgm,0.005799
11,MontagneFoncee.pgm,0.002327
11,MontagneFoncee.pgm,0.001849
11,MontagneFoncee.pgm,0.013944
11,MontagneFoncee.pgm,0.022274
11,MontagneFoncee.pgm,0.000885
11,MontagneFoncee.pgm,0.004555
11,MontagneFoncee.pgm,0.007277
11,MontagneFoncee.pgm,0.026313
11,MontagneFoncee.pgm,0.000751
11,MontagneFoncee.pgm,0.001114
11,MontagneFoncee.pgm,0.000744
11,MontagneFoncee.pgm,0.013940
11,MontagneFoncee.pgm,0.004117
