number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed
4,MontagneFoncee.pgm,322073,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,310300,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,302259,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,305239,120,0,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13310115,727,320,lipsky-b-01,LINUX64,1000,727,320,lipsky-b-01,LINUX64,1000,728,310,lipsky-b-02,LINUX64,1000,729,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13303519,726,310,lipsky-b-01,LINUX64,1000,726,310,lipsky-b-01,LINUX64,1000,727,320,lipsky-b-02,LINUX64,1000,729,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13406571,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,729,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13280149,728,310,lipsky-b-01,LINUX64,1000,728,310,lipsky-b-01,LINUX64,1000,728,310,lipsky-b-02,LINUX64,1000,727,310,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13335161,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,310,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13304731,727,320,lipsky-b-01,LINUX64,1000,727,320,lipsky-b-01,LINUX64,1000,727,310,lipsky-b-02,LINUX64,1000,729,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13340953,727,320,lipsky-b-01,LINUX64,1000,727,320,lipsky-b-01,LINUX64,1000,729,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13283641,727,320,lipsky-b-01,LINUX64,1000,727,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13376570,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,727,310,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13343464,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13304908,727,320,lipsky-b-01,LINUX64,1000,727,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,729,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13379487,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13293290,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,729,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13298347,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13317716,727,320,lipsky-b-01,LINUX64,1000,727,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13400594,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,727,320,lipsky-b-02,LINUX64,1000,729,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13310303,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13313425,728,310,lipsky-b-01,LINUX64,1000,728,310,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,310,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13368960,726,310,lipsky-b-01,LINUX64,1000,726,310,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,729,320,lipsky-b-03,LINUX64,1000
4,stavrovouni.pgm,13327456,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-01,LINUX64,1000,728,320,lipsky-b-02,LINUX64,1000,728,320,lipsky-b-03,LINUX64,1000
