number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed
4,MontagneFoncee.pgm,117,126,0,abe-a-12,LINUX64,1000,126,0,abe-a-12,LINUX64,1000,124,0,abe-a-07,LINUX64,1000,103,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,121,121,10,abe-a-12,LINUX64,1000,121,10,abe-a-12,LINUX64,1000,139,0,abe-a-07,LINUX64,1000,100,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,113,137,0,abe-a-12,LINUX64,1000,137,0,abe-a-12,LINUX64,1000,120,0,abe-a-07,LINUX64,1000,98,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,118,129,10,abe-a-12,LINUX64,1000,129,10,abe-a-12,LINUX64,1000,123,10,abe-a-07,LINUX64,1000,128,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,129,122,10,abe-a-12,LINUX64,1000,122,10,abe-a-12,LINUX64,1000,124,10,abe-a-07,LINUX64,1000,122,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,127,119,10,abe-a-12,LINUX64,1000,119,10,abe-a-12,LINUX64,1000,127,10,abe-a-07,LINUX64,1000,103,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,126,120,10,abe-a-12,LINUX64,1000,120,10,abe-a-12,LINUX64,1000,121,0,abe-a-07,LINUX64,1000,127,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,124,123,0,abe-a-12,LINUX64,1000,123,0,abe-a-12,LINUX64,1000,124,0,abe-a-07,LINUX64,1000,128,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,126,128,0,abe-a-12,LINUX64,1000,128,0,abe-a-12,LINUX64,1000,127,0,abe-a-07,LINUX64,1000,124,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,129,124,10,abe-a-12,LINUX64,1000,124,10,abe-a-12,LINUX64,1000,111,10,abe-a-07,LINUX64,1000,125,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,98,128,0,abe-a-12,LINUX64,1000,128,0,abe-a-12,LINUX64,1000,127,0,abe-a-07,LINUX64,1000,125,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,102,128,0,abe-a-12,LINUX64,1000,128,0,abe-a-12,LINUX64,1000,94,10,abe-a-07,LINUX64,1000,123,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,119,103,0,abe-a-12,LINUX64,1000,103,0,abe-a-12,LINUX64,1000,121,10,abe-a-07,LINUX64,1000,125,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,116,104,0,abe-a-12,LINUX64,1000,104,0,abe-a-12,LINUX64,1000,125,10,abe-a-07,LINUX64,1000,126,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,115,124,0,abe-a-12,LINUX64,1000,124,0,abe-a-12,LINUX64,1000,123,0,abe-a-07,LINUX64,1000,123,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,120,121,0,abe-a-12,LINUX64,1000,121,0,abe-a-12,LINUX64,1000,126,0,abe-a-07,LINUX64,1000,124,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,121,131,0,abe-a-12,LINUX64,1000,131,0,abe-a-12,LINUX64,1000,124,0,abe-a-07,LINUX64,1000,126,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,106,125,10,abe-a-12,LINUX64,1000,125,10,abe-a-12,LINUX64,1000,128,10,abe-a-07,LINUX64,1000,129,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,124,131,10,abe-a-12,LINUX64,1000,131,10,abe-a-12,LINUX64,1000,119,10,abe-a-07,LINUX64,1000,123,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,126,127,0,abe-a-12,LINUX64,1000,127,0,abe-a-12,LINUX64,1000,106,10,abe-a-07,LINUX64,1000,129,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,105,117,0,abe-a-12,LINUX64,1000,117,0,abe-a-12,LINUX64,1000,93,0,abe-a-07,LINUX64,1000,142,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,94,144,0,abe-a-12,LINUX64,1000,144,0,abe-a-12,LINUX64,1000,118,0,abe-a-07,LINUX64,1000,88,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,121,124,10,abe-a-12,LINUX64,1000,124,10,abe-a-12,LINUX64,1000,120,10,abe-a-07,LINUX64,1000,123,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,111,108,0,abe-a-12,LINUX64,1000,108,0,abe-a-12,LINUX64,1000,128,10,abe-a-07,LINUX64,1000,123,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,96,122,10,abe-a-12,LINUX64,1000,122,10,abe-a-12,LINUX64,1000,123,0,abe-a-07,LINUX64,1000,145,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,117,123,10,abe-a-12,LINUX64,1000,123,10,abe-a-12,LINUX64,1000,145,0,abe-a-07,LINUX64,1000,115,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,123,129,10,abe-a-12,LINUX64,1000,129,10,abe-a-12,LINUX64,1000,119,0,abe-a-07,LINUX64,1000,97,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,119,124,10,abe-a-12,LINUX64,1000,124,10,abe-a-12,LINUX64,1000,125,10,abe-a-07,LINUX64,1000,98,0,abe-a-14,LINUX64,1000
